dataset,split,seed,method,run_dir,interval_path,exists,size_bytes,sha1_fast,choices_cp_subdir,picked_component,choices_match
davis,cold_drug,0,Fixed,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_drug_seed0,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_drug_seed0/cp_local_target_tfidf_k60_m200_gamma0p0_alpha0p1/pred_intervals_test.csv.gz,True,74779,9859a810e89a40c3d6564e8fa2b1cd9ec825a6c2,,cp_local_target_tfidf_k60_m200_gamma0p0_alpha0p1,
davis,cold_drug,0,NaiveAutoSel,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_drug_seed0,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_drug_seed0/cp_local_autosel_target_k240_m50_gamma0_alpha0p1/pred_intervals_test.csv.gz,True,73579,83d1a01c1aa135788aa6e4d327d2a256bfc6caf8,,cp_local_autosel_target_k240_m50_gamma0_alpha0p1,
davis,cold_drug,0,CAS-LCB,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_drug_seed0,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_drug_seed0/cp_local_constrained_lcb_target_aacomp_k30_m50_gamma0p05_alpha0p02/pred_intervals_test.csv.gz,True,83976,be53bd948d8d960f4fa98e6f9651aa6b7eb06629,cp_local_autosel_target_k30_m50_gamma0p05_alpha0p02,cp_local_constrained_lcb_target_aacomp_k30_m50_gamma0p05_alpha0p02,False
davis,cold_drug,0,CAS-LCB-Bonf,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_drug_seed0,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_drug_seed0/cp_constrained_bonf_C17_delta0p05/pred_intervals_test.csv.gz,True,83976,dbc89737ab52a7b27c0a5e42309964a409640556,,cp_constrained_bonf_C17_delta0p05,
davis,cold_drug,0,TC-SC,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_drug_seed0,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_drug_seed0/pred_intervals_test_tc_sc.csv.gz,True,1113588,18061df9633a457b02eef6b882b156aea4b1a037,,pred_intervals_test_tc_sc.csv.gz,
davis,cold_drug,0,WSC-B,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_drug_seed0,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_drug_seed0/pred_intervals_test_wsc_B.csv.gz,True,1113540,30886f0cde2508dedc55baa22cb03d24a4d4af32,,pred_intervals_test_wsc_B.csv.gz,
davis,cold_drug,1,Fixed,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_drug_seed1,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_drug_seed1/cp_local_target_tfidf_k60_m200_gamma0p0_alpha0p1/pred_intervals_test.csv.gz,True,74898,4901676b829681f5b626835983c1c2bd73874937,,cp_local_target_tfidf_k60_m200_gamma0p0_alpha0p1,
davis,cold_drug,1,NaiveAutoSel,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_drug_seed1,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_drug_seed1/cp_local_autosel_target_k240_m50_gamma0_alpha0p1/pred_intervals_test.csv.gz,True,73998,bb2e4c45521af4e5c43a7eb83df1c10f3ee91bbb,,cp_local_autosel_target_k240_m50_gamma0_alpha0p1,
davis,cold_drug,1,CAS-LCB,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_drug_seed1,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_drug_seed1/cp_local_constrained_lcb_target_aacomp_k120_m50_gamma0_alpha0p02/pred_intervals_test.csv.gz,True,73511,95ab3b9d9285512064edda315f6ec7e14c1ffaa2,cp_local_autosel_target_k120_m50_gamma0_alpha0p02,cp_local_constrained_lcb_target_aacomp_k120_m50_gamma0_alpha0p02,False
davis,cold_drug,1,CAS-LCB-Bonf,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_drug_seed1,runs/2025-12-23_deepdta_points/deepdta_point_davis_cold_drug_seed1/cp_constrained_bonf_C17_delta0p05/pred_intervals_test.csv.gz,True,73511,19a8f886bf5e2fcf2bfd74706f48fcabdb3d4d14,,cp_constrained_bonf_C17_delta0p05,
